Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,Peak Match,Peak Age,Peak Elo
Gonzalo Lama,29.9,1300.9,1146.8,1273.8,1314.4,1223.9,1287.4,1307.7,2016 Sao Paulo CH F,22.9,1595.1
Luke Saville,29.2,1295.1,1251.8,1083.6,1388.5,1273.5,1189.4,1341.8,2014 Traralgon2 CH QF,20.7,1564
Facundo Juarez,25,1291.2,1135.5,1270,-,1213.4,1280.6,1345.6,2021 Florianopolis CH R16,24.2,1329
Gianmarco Ferrari,22.5,1289.3,1254.8,1185.5,-,1272,1237.4,1344.6,2022 Cordenons CH R32,21.8,1409.8
Olukayode Alafia Damina Ayeni,23.4,1287.3,1233.8,-,-,1260.5,1253.7,1343.7,2023 Nonthaburi 1 CH R32,23.3,1337.3
Oriol Roca Batalla,29.9,1281.7,1221.4,1261.1,1352.2,1251.5,1271.4,1316.9,2015 Casablanca CH R32,22.4,1474
Yshai Oliel,23,1277.8,1271.3,1261.9,1500,1274.5,1269.8,1388.9,2017 Davis Cup G1 R1,17,1478.7
Andrew Paulson,21,1277.3,1245.7,1203.3,-,1261.5,1240.3,1338.6,2020 Prague CH R64,18.3,1323.2
Sasi Kumar Mukund,26.1,1273.5,1257.5,1164,1283,1265.5,1218.8,1278.2,2019 Chennai CH QF,22,1459.3
Adam Walton,24,1271.4,1262.9,1171.7,-,1267.1,1221.6,1335.7,2023 Burnie CH R16,23.7,1369.2
Colin Sinclair,28.3,1269.3,1264.3,1159,-,1266.8,1214.1,1334.7,2018 Noumea CH R32,24,1348.2
Sebastian Fanselow,31.2,1268.2,1202.9,1320,-,1235.5,1294.1,1334.1,2019 Burnie CH R16,27,1565.6
Rudolf Molleker,22.3,1266.3,1140,1259.6,1313.4,1203.1,1263,1289.9,2019 Poznan CH SF,18.5,1709.8
Joao Lucas Reis Da Silva,23,1263,1126.7,1303.6,-,1194.8,1283.3,1331.5,2022 Ambato CH SF,22.5,1505.2
Michail Pervolarakis,26.5,1263,1216.1,1141.8,-,1239.5,1202.4,1331.5,2020 Launceston CH R32,23.6,1488.3
Edoardo Lavagno,24.6,1262.5,-,1238.7,-,1241.2,1250.6,1331.2,2021 Maia 2 CH R32,23.3,1304.6
Charles Broom,24.9,1258.1,1213.2,-,1282.8,1235.7,1239.1,1270.4,2022 Drummondville CH R16,24.5,1309.3
Valentin Vacherot,24.4,1257.3,1250.3,1177.3,-,1253.8,1217.3,1328.6,2022 Nonthaburi 2 CH R16,23.7,1613.7
Lukas Neumayer,20.4,1253.7,1105.2,1278.6,-,1179.5,1266.2,1326.9,2022 Trieste CH R32,19.8,1479.8
Gonzalo Villanueva,28.2,1248,1090.8,1267.6,-,1169.4,1257.8,1324,2022 Salvador De Bahia CH QF,27.2,1441.1
Federico Arnaboldi,22.7,1245.8,1146.3,1220.2,-,1196,1233,1322.9,2022 Parma CH R32,22.2,1326.8
Andrey Chepelev,24.5,1244.5,1199.6,1214.6,-,1222,1229.5,1322.2,2022 Cordenons CH R16,23.9,1339.7
Skander Mansouri,27.7,1230.6,1188.6,1099.9,-,1209.6,1165.2,1315.3,2021 Salinas 2 CH R32,25.7,1410.6
Daniel Cukierman,27.6,1215.3,1160.5,1177.7,-,1187.9,1196.5,1307.7,2020 Davis Cup WG1 PO,24.6,1260.3
Matias Franco Descotte,28.6,1191.5,1200.3,1151.3,-,1195.9,1171.4,1295.7,2019 Santiago CH R64,24.5,1539.4
Keegan Smith,24.6,1187.2,1153.8,1079.3,-,1170.5,1133.2,1293.6,2019 Champaign-Urbana CH R16,21.3,1399
Kasidit Samrej,22,1181.6,1150.4,-,-,1166,1200.8,1290.8,2022 Davis Cup WG2 R1,21.6,1279.9
Conner Huertas Del Pino,27.1,1165.8,-,1148.4,-,1192.9,1157.1,1282.9,2022 Buenos Aires CH R32,26.4,1167.5
Rodrigo Pacheco Mendez,17.9,1142.9,1144.1,1090,-,1143.5,1116.5,1271.5,2022 Acapulco Qual,16.8,1210.6
Wilson Leite,31.4,1112.3,1060.8,1112.2,-,1086.6,1112.3,1256.2,2013 Rio de Janeiro CH R32,21.7,1394
Daniel Rincon,20.2,1109.6,1110.1,1090.2,1323.7,1109.8,1099.9,1216.6,2021 Mallorca Qual,18.4,1211.9
Naoki Nakagawa,26.4,1072,1075.5,1027.7,-,1073.8,1049.9,1236,2014 Sarasota CH R32,17.3,1205.6
