Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,Peak Match,Peak Age,Peak Elo
Mitchell Krueger,29.2,1484.2,1420.6,1307.4,1462.3,1452.4,1395.8,1473.2,2022 Sarasota CH R16,28.2,1622.1
Yu Hsiou Hsu,23.9,1481.4,1423.2,1197,-,1452.3,1339.2,1440.7,2023 Australian Open Qual,23.7,1581.7
Illya Marchenko,35.6,1480.6,1443.7,1275.6,1435.1,1462.2,1378.1,1457.9,2010 Marseille Qual,22.4,1776.4
Mathias Bourgue,29.1,1479.9,1463.4,1369.4,1367.1,1471.7,1424.7,1423.5,2021 Biella 4 CH R16,27.1,1656.8
Genaro Alberto Olivieri,24.7,1479.6,1265.7,1469.7,1339,1372.7,1474.7,1409.3,2021 Prague 3 CH QF,23,1526.1
Ryan Peniston,27.3,1477.4,1417.2,1350,1471.6,1447.3,1413.7,1474.5,2022 Wimbledon R128,26.6,1708.4
Matija Pecotic,33.7,1477.3,1409.5,1388.7,1372.4,1443.4,1433,1424.8,2016 Gatineau CH QF,27,1602.8
Yuichi Sugita,34.4,1476.6,1447.5,1296,1438.5,1462.1,1386.3,1457.5,2017 Cincinnati R16,28.9,1788.9
Evgeny Donskoy,32.8,1476.6,1427.3,1368.9,1428.4,1451.9,1422.7,1452.5,2015 Pune CH SF,25.4,1721.6
Seong Chan Hong,25.7,1476,1376,1334.7,1362,1426,1405.3,1419,2023 Tallahassee CH QF,25.7,1494.6
Michael Geerts,28.2,1475.7,1428.5,1381.8,-,1452.1,1428.8,1437.9,2022 El Espinar CH QF,27.5,1525.5
Antoine Bellier,26.4,1473.8,1383.1,1369.3,1589.1,1428.5,1421.5,1531.4,2022 Pozoblanco CH R32,25.7,1631
Gauthier Onclin,22.1,1473,1421.7,1282.4,-,1447.3,1377.7,1436.5,2023 Saint Brieuc CH R32,22,1530.1
Luciano Darderi,21.1,1471.3,1307,1457.2,-,1389.2,1464.3,1435.7,2022 Iasi CH QF,20.4,1609.7
Salvatore Caruso,30.3,1471.3,1453.6,1398.7,1471.8,1462.5,1435,1471.6,2019 US Open Qual,26.6,1710.7
Zdenek Kolar,26.5,1471.1,1433.7,1367.3,1388,1452.4,1419.2,1429.6,2021 Szczecin CH F,24.9,1599.5
Raul Brancaccio,25.9,1470.9,1388.2,1436.9,-,1429.6,1453.9,1435.5,2023 Australian Open Qual,25.7,1631.7
Mattia Bellucci,21.8,1469.1,1404.8,1303.3,-,1437,1386.2,1434.5,2022 Vilnius CH F,21.3,1724.4
James Mccabe,19.7,1468.6,1437.1,1252.9,-,1452.8,1360.7,1434.3,2023 Puerto Vallarta CH QF,19.6,1555.1
Sumit Nagal,25.6,1467.9,1445.6,1361.7,1346.9,1456.7,1414.8,1407.4,2019 Campinas CH QF,22.1,1717.1
Franco Agamenone,30,1463.5,1342,1446.8,1341.8,1402.7,1455.1,1402.6,2021 Ercolano CH QF,28.4,1700.6
Dalibor Svrcina,20.5,1459.6,1306.7,1462.4,1428,1383.2,1461,1443.8,2021 Prague 2 CH F,18.8,1597.2
Ernesto Escobedo,26.6,1459.1,1430.5,1400.7,1281,1444.8,1429.9,1370,2017 Houston QF,20.7,1756.9
Nicola Kuhn,22.5,1458.3,1329.2,1429.2,1522.6,1393.8,1443.7,1490.5,2017 Meerbusch CH QF,17.4,1600.8
Matheus Pucinelli De Almeida,22,1458.2,1204.3,1443.9,1402,1331.2,1451.1,1430.1,2022 Concepcion CH R16,20.9,1633.1
Shintaro Mochizuki,19.8,1457.4,1282.9,1445.4,1408,1370.1,1451.4,1432.7,2023 Split CH R32,19.8,1502.7
Jason Jung,33.8,1456.7,1404.3,1282.8,1409.7,1430.5,1369.8,1433.2,2018 Zhuhai CH QF,28.7,1652.2
Yasutaka Uchiyama,30.5,1455.9,1384.7,1216.8,1382.4,1420.3,1336.3,1419.1,2019 Playford CH SF,27.2,1723.9
Lukas Rosol,37.7,1454.6,1414.3,1375.2,1504.9,1434.4,1414.9,1479.7,2014 Winston-Salem F,29,1880.9
Marko Topo,19.5,1453.9,1378.2,1465.5,1417.9,1416.1,1459.7,1435.9,2022 Munich Qual,18.6,1657.9
Giovanni Fonio,24.9,1450.4,1374,1353.6,-,1412.2,1402,1425.2,2023 Tenerife 3 CH R16,24.7,1527.3
Andrej Martin,32.8,1450.2,1272.1,1388,1221.5,1361.2,1419.1,1335.9,2014 US Open Qual,24.9,1665.5
Frederico Ferreira Silva,28,1447.5,1402,1372.7,1414.4,1424.7,1410.1,1431,2021 Prague 1 CH R16,26.1,1637.1
Alex Rybakov,26.2,1447,1349.9,1357.5,1440.9,1398.5,1402.3,1444,2023 Dallas Qual,26,1504.3
Steven Diez,32,1446.7,1309.9,1447.4,1285.5,1378.3,1447.1,1366.1,2019 Ningbo CH SF,28.5,1602.1
Federico Gaio,31,1446.7,1354.4,1428.3,1369.1,1400.5,1437.5,1407.9,2019 San Benedetto CH QF,27.3,1603.5
Harold Mayot,21.1,1445.8,1400.8,1403.2,-,1423.3,1424.5,1422.9,2022 Istanbul CH R16,20.6,1621.1
Kyrian Jacquet,21.9,1442,1293,1453.5,-,1367.5,1447.8,1421,2021 Tampere CH QF,20.1,1601.9
Daniel Masur,28.4,1441.7,1361.5,1354.3,1475.1,1401.6,1398,1458.4,2021 Lugano CH R16,26.3,1606
Evgeny Karlovskiy,28.3,1440.7,1409.2,1301.8,1375.6,1425,1371.3,1408.2,2019 Eckental CH QF,25.2,1554.6
Santiago Fa Rodriguez Taverna,23.7,1437.8,1181.7,1447.4,1404.8,1309.7,1442.6,1421.3,2022 Concepcion CH SF,22.5,1654.5
Javier Barranco Cosano,24,1437.6,1154.8,1370.6,1407.8,1296.2,1404.1,1422.7,2021 Antalya 4 CH R32,23,1458.5
Dragos Nicolae Madaras,25.5,1437.5,1302.6,1400,1324.2,1370.1,1418.7,1380.8,2022 Banja Luka CH QF,24.9,1457
Juan Pablo Ficovich,26.2,1431.9,1363.2,1399.9,1373.7,1397.5,1415.9,1402.8,2020 Alicante CH R16,23.7,1582.3
Julian Lenz,29.6,1431.9,1391.9,1319.7,1398.5,1411.9,1375.8,1415.2,2019 Augsburg CH QF,26.4,1557.7
Paul Jubb,23.2,1431.1,1315.8,1462.5,1396.7,1373.4,1446.8,1413.9,2022 Santa Cruz De La Sierra CH F,22.3,1638.1
Roberto Marcora,33.5,1428.4,1353.3,1360.1,1239.5,1390.9,1394.3,1334,2020 Cherbourg CH SF,30.4,1634.7
Jonas Forejtek,22,1427.3,1320.7,1446.8,1366.8,1374,1437,1397,2022 Heilbronn CH QF,21.1,1604.2
Dan Added,24,1427.3,1390,1226.5,-,1408.6,1326.9,1413.6,2023 Saint Brieuc CH SF,23.9,1501.5
Nicholas David Ionel,20.5,1427.1,1189.4,1463.6,-,1308.2,1445.4,1413.6,2022 Sibiu CH QF,19.9,1467.1
Ramkumar Ramanathan,28.2,1426.7,1376.9,1330.5,1427.3,1401.8,1378.6,1427,2018 Nanchang CH R16,23.4,1605.9
Miljan Zekic,34.7,1425.2,1318,1386.8,1367.9,1371.6,1406,1396.5,2016 Banja Luka CH SF,28.1,1606.7
Denis Istomin,36.2,1424.1,1404.3,1387.6,1433.4,1414.2,1405.9,1428.8,2012 Indian Wells R32,25.4,1849.2
Dmitry Popko,26.4,1422.7,1407.5,1346.8,1287.7,1415.1,1384.8,1355.2,2020 Bangkok CH QF,23.2,1617.7
Gian Marco Moroni,25.1,1421.6,1303.1,1418.2,-,1362.3,1419.9,1410.8,2018 Vicenza CH QF,20.2,1668.1
Valentin Royer,21.7,1420.5,1354.8,-,-,1387.7,1320.3,1410.3,2023 Pau CH R32,21.7,1429.8
Lorenzo Giustino,31.6,1419.1,1303.7,1371.2,1210.7,1361.4,1395.2,1314.9,2019 Blois CH QF,27.7,1628.8
Daniel Michalski,23.1,1419,1415.9,1375.5,1500,1417.4,1397.2,1459.5,2018 Sopot CH R32,18.5,1576.1
Nino Serdarusic,26.3,1418.2,1272,1404.4,1296.2,1345.1,1411.3,1357.2,2022 Oeiras 1 CH SF,25.2,1557
Nikola Milojevic,27.8,1416.9,1370,1398,1347,1393.4,1407.4,1381.9,2021 Zagreb CH R16,25.8,1629.1
Renzo Olivo,31,1415.7,1276.9,1405.1,1338.9,1346.3,1410.4,1377.3,2015 Buenos Aires R32,22.9,1651.7
Facundo Mena,30.5,1410.8,1257.5,1418.6,1373.9,1334.1,1414.7,1392.3,2019 Banja Luka CH R16,26.9,1603
Tristan Schoolkate,21.9,1410.7,1364.5,1145,-,1387.6,1277.9,1405.3,2023 Burnie CH R32,21.9,1448.3
Govind Nanda,21.6,1410.4,1313.9,1276,-,1362.1,1343.2,1405.2,2022 Charleston CH R32,21.6,1488.3
Prajnesh Gunneswaran,33.2,1408.1,1368.6,1258.7,1279.1,1388.3,1333.4,1343.6,2019 Anning CH SF,29.4,1728.3
Duje Ajdukovic,22.1,1407.7,1273.3,1328,1445.8,1340.5,1367.9,1426.7,2021 Antalya 1 CH R16,19.9,1597.6
Lucas Gerch,28.2,1407.5,1316.1,1336.4,-,1361.8,1371.9,1403.7,2022 Champaign CH R32,27.9,1527.4
Andrea Arnaboldi,35.3,1406.5,1285.9,1397.2,1453.1,1346.2,1401.9,1429.8,2015 Cortina CH QF,27.6,1593.7
Nicolas Mejia,23.1,1404.4,1323.7,1372.4,-,1364,1388.4,1402.2,2021 Los Cabos Qual,21.4,1523.9
Elmar Ejupovic,30.2,1403,1287.7,1320.7,-,1345.3,1361.8,1401.5,2023 Leon CH R16,30.1,1459.2
Hernan Casanova,29,1401.6,1168.3,1381.4,-,1284.9,1391.5,1400.8,2022 Buenos Aires CH R32,28.6,1457.3
Calvin Hemery,28.2,1401.5,1348.9,1378.5,1352,1375.2,1390,1376.8,2015 Padova CH QF,20.4,1643.2
Juan Bautista Otegui,24.1,1400.5,1318.5,1335.1,-,1359.5,1367.8,1400.2,2022 Temuco CH R16,23.7,1458.7
Juan Bautista Torres,21,1399.4,1180.3,1375.1,-,1289.9,1387.3,1399.7,2022 Todi CH R32,20.2,1573.6
Alexis Galarneau,24.1,1398.5,1325.8,1306,-,1362.1,1352.3,1399.2,2022 Winnipeg CH SF,23.3,1539.5
Kacper Zuk,24.2,1397.2,1341.6,1369.2,1398.9,1369.4,1383.2,1398,2021 Prague 1 CH R32,22.2,1745
Beibit Zhukayev,22.5,1396.9,1332.4,1147.3,-,1364.6,1272.1,1398.4,2022 Yokkaichi CH R32,22.1,1493.7
Eduardo Ribeiro,25,1395.8,-,1381.5,-,1307.9,1388.6,1397.9,2023 Florianopolis CH QF,25,1412.2
Filip Cristian Jianu,21.5,1394.8,1390.4,1323.9,1439.1,1392.6,1359.3,1417,2019 Sibiu CH R32,17.9,1617.3
Adrian Menendez Maceiras,36.8,1393.1,1361.7,1337,1339.4,1377.4,1365,1366.2,2015 Leon CH SF,29.4,1615.3
Dane Sweeny,22.1,1390.3,1358.5,1148,-,1374.4,1269.1,1395.1,2022 Nonthaburi 2 CH R16,21.5,1550.6
Terence Atmane,21.2,1390,1280.3,1332.4,-,1335.2,1361.2,1395,2023 Cuernavaca CH R16,21.2,1415.3
Kenny De Schepper,35.8,1390,1372.6,1290.7,1448.9,1381.3,1340.3,1419.5,2012 Seoul CH R16,25.4,1771.6
Filip Horansky,29.7,1388.2,1357.3,1390.2,1196.4,1372.7,1389.2,1292.3,2021 Quimper 1 CH SF,28,1586.6
Jay Clarke,24.7,1387.4,1308.1,1284.3,1255.5,1347.7,1335.9,1321.5,2019 Nanchang CH R32,20.7,1633.3
Viktor Durasovic,26,1386.9,1334.8,1271.4,1404.5,1360.8,1329.2,1395.7,2014 Davis Cup G2 R1,16.8,1465.5
Patrick Kypson,23.4,1382.4,1277.3,1305.7,-,1329.9,1344,1391.2,2023 Tallahassee CH R32,23.4,1400.1
Titouan Droguet,21.8,1381,1425.1,1252.6,-,1403,1316.8,1390.5,2023 Cherbourg CH SF,21.6,1534.9
Christian Langmo,26.8,1380.5,1335.7,1142.7,-,1358.1,1261.6,1390.2,2023 Cuernavaca CH QF,26.8,1400.2
Antoine Hoang,27.3,1376.5,1285.9,1345.2,1573.1,1331.2,1360.9,1474.8,2019 Montpellier R32,23.2,1715.7
Mirza Basic,31.6,1374.9,1346.5,1304.8,1281.5,1360.7,1339.8,1328.2,2018 Sofia F,26.5,1710.5
Sergey Fomin,21.9,1374.2,1154.1,1445.9,-,1264.2,1410.1,1387.1,2022 Davis Cup WG1 R1,21.6,1380.6
Clement Chidekh,21.7,1373.6,1299.7,-,-,1336.7,1296.8,1386.8,2023 Montpellier Qual,21.6,1476.1
Francisco Comesana,22.5,1372.1,1164,1359.8,-,1268,1366,1386,2022 Buenos Aires CH SF,21.7,1601.1
Billy Harris,28.2,1372,1413.3,1111.1,1301.9,1392.7,1241.6,1337,2023 Les Franqueses Del Valles CH SF,28.1,1450.5
Maxime Janvier,26.4,1369.5,1309.1,1329,1341.9,1339.3,1349.2,1355.7,2019 Vancouver CH QF,22.8,1582.5
Nam Hoang Ly,26,1366.2,1332.3,1176.3,-,1349.3,1271.3,1383.1,2019 Da Nang CH R64,21.8,1464.8
Louis Wessels,24.6,1365.1,1152.4,1352.2,1290.4,1258.7,1358.6,1327.7,2022 Sibiu CH R32,24,1392
Mariano Navone,22.1,1364.5,1162.9,1373.9,-,1263.7,1369.2,1382.2,2022 Buenos Aires CH QF,21.5,1652.9
Moez Echargui,30.2,1362.3,1286.1,1269.6,-,1324.2,1315.9,1381.1,2023 Tallahassee CH R16,30.2,1385.5
Pedro Boscardin Dias,20.2,1362.1,1137.1,1334.2,-,1249.6,1348.1,1381,2022 Coquimbo CH SF,19.2,1414.5
Omar Jasika,25.8,1359.2,1340.7,1164.5,1297.4,1350,1261.9,1328.3,2017 Launceston CH R32,19.7,1655.9
Edan Leshem,26,1357.2,1298.3,1428.1,1500,1327.8,1392.7,1428.6,2016 Gimcheon CH R16,19.3,1509.5
Manuel Guinard,27.4,1357,1218.6,1352.1,1339,1287.8,1354.5,1348,2022 Lyon CH QF,26.5,1639.5
Aziz Dougaz,26,1356.5,1312.6,1268.2,1500,1334.5,1312.3,1428.2,2020 Calgary CH R32,22.9,1551.7
