ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,player_1_won,swap,player_1,player_2,player_1_rank,player_2_rank,player_1_points,player_2_points,player_1_odds,player_2_odds
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Basilashvili N.,Arnaboldi A.,40.0,267.0,1395.0,206.0,4.0,6.0,7.0,5.0,6.0,1.0,,,,,2.0,1.0,Completed,1.5,2.5,1.61,2.44,1.67,2.56,1.56,2.42,1,False,Basilashvili N.,Arnaboldi A.,40.0,267.0,1395.0,206.0,1.5,2.5
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Celikbilek A.,Zuk K.,309.0,262.0,150.0,209.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.63,1.54,2.7,1.55,2.57,1.5,0,True,Zuk K.,Celikbilek A.,262.0,309.0,209.0,150.0,1.5,2.5
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Ruusuvuori E.,Vesely J.,87.0,67.0,806.0,928.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.56,2.58,1.63,3.03,1.52,2.53,1,False,Ruusuvuori E.,Vesely J.,87.0,67.0,806.0,928.0,1.5,2.5
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Bublik A.,Caruso S.,49.0,76.0,1090.0,858.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.81,2.09,1.87,2.3,1.72,2.11,1,False,Bublik A.,Caruso S.,49.0,76.0,1090.0,858.0,1.61,2.2
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Goffin D.,Herbert P.H.,16.0,83.0,2555.0,822.0,3.0,6.0,7.0,5.0,6.0,0.0,,,,,2.0,1.0,Completed,1.4,2.75,1.46,2.92,1.5,3.0,1.44,2.78,1,False,Goffin D.,Herbert P.H.,16.0,83.0,2555.0,822.0,1.4,2.75
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Travaglia S.,Kecmanovic M.,75.0,42.0,869.0,1328.0,1.0,6.0,6.0,4.0,6.0,0.0,,,,,2.0,1.0,Completed,2.62,1.44,2.8,1.49,2.85,1.5,2.71,1.45,0,True,Kecmanovic M.,Travaglia S.,42.0,75.0,1328.0,869.0,1.44,2.62
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Struff J.L.,Kotov P.,37.0,269.0,1450.0,205.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.24,4.44,1.27,4.6,1.22,4.16,0,True,Kotov P.,Struff J.L.,269.0,37.0,205.0,1450.0,4.0,1.22
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Lamasine T.,Gerasimov E.,271.0,78.0,204.0,840.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,5.0,1.16,5.74,1.17,5.74,1.22,5.12,1.16,1,False,Lamasine T.,Gerasimov E.,271.0,78.0,204.0,840.0,5.0,1.16
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Andreev A.,Ilhan M.,564.0,571.0,52.0,51.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.24,4.53,1.25,4.65,1.22,4.24,0,True,Ilhan M.,Andreev A.,571.0,564.0,51.0,52.0,4.33,1.2
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Grenier H.,Molcan A.,250.0,313.0,220.0,145.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,1.9,2.0,1.89,2.05,2.0,1.87,1.92,0,True,Molcan A.,Grenier H.,313.0,250.0,145.0,220.0,1.9,1.8
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Berrettini M.,Kirkin E.,10.0,446.0,3085.0,83.0,6.0,0.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.03,15.0,1.03,16.3,1.04,24.25,1.02,13.94,0,True,Kirkin E.,Berrettini M.,446.0,10.0,83.0,3085.0,15.0,1.03
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Chardy J.,Albot R.,72.0,85.0,880.0,817.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.18,1.75,2.2,1.8,2.11,1.71,0,True,Albot R.,Chardy J.,85.0,72.0,817.0,880.0,1.72,2.0
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,De Minaur A.,Jaziri M.,23.0,249.0,1860.0,220.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.04,13.0,1.04,14.8,1.05,18.7,1.03,12.68,0,True,Jaziri M.,De Minaur A.,249.0,23.0,220.0,1860.0,13.0,1.04
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Kuhn N.,Bachinger M.,253.0,279.0,219.0,189.0,3.0,6.0,6.0,3.0,4.0,1.0,,,,,1.0,1.0,Retired,2.25,1.57,2.48,1.6,2.7,1.63,2.42,1.56,1,False,Kuhn N.,Bachinger M.,253.0,279.0,219.0,189.0,2.25,1.57
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Fognini F.,Vrbensky M.,17.0,311.0,2400.0,148.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.49,2.81,1.49,3.0,1.43,2.8,1,False,Fognini F.,Vrbensky M.,17.0,311.0,2400.0,148.0,1.4,2.75
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Kuzmanov D.,Djere L.,298.0,55.0,166.0,1068.0,6.0,1.0,3.0,2.0,,,,,,,1.0,0.0,Retired,2.62,1.44,2.7,1.52,2.73,1.57,2.6,1.49,1,False,Kuzmanov D.,Djere L.,298.0,55.0,166.0,1068.0,2.62,1.44
1,Antalya,Antalya Open,2021-01-09,ATP250,Indoor,Hard,2nd Round,3.0,De Minaur A.,Andreev A.,23.0,564.0,1860.0,52.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.08,8.0,1.08,10.12,1.09,11.0,1.07,8.57,0,True,Andreev A.,De Minaur A.,564.0,23.0,52.0,1860.0,8.0,1.08
1,Antalya,Antalya Open,2021-01-09,ATP250,Indoor,Hard,2nd Round,3.0,Basilashvili N.,Celikbilek A.,40.0,309.0,1395.0,150.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.45,3.0,1.45,3.12,1.41,2.87,1,False,Basilashvili N.,Celikbilek A.,40.0,309.0,1395.0,150.0,1.4,2.75
1,Antalya,Antalya Open,2021-01-09,ATP250,Indoor,Hard,2nd Round,3.0,Travaglia S.,Ruusuvuori E.,75.0,87.0,869.0,806.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.76,1.51,2.76,1.54,2.61,1.49,0,True,Ruusuvuori E.,Travaglia S.,87.0,75.0,806.0,869.0,1.44,2.62
1,Antalya,Antalya Open,2021-01-09,ATP250,Indoor,Hard,2nd Round,3.0,Goffin D.,Kuhn N.,16.0,253.0,2555.0,219.0,6.0,0.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.11,6.5,1.11,7.84,1.13,7.84,1.1,6.82,1,False,Goffin D.,Kuhn N.,16.0,253.0,2555.0,219.0,1.11,6.5
1,Antalya,Antalya Open,2021-01-10,ATP250,Indoor,Hard,2nd Round,3.0,Chardy J.,Fognini F.,72.0,17.0,880.0,2400.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,2.2,1.61,2.31,1.69,2.31,1.82,2.2,1.66,1,False,Chardy J.,Fognini F.,72.0,17.0,880.0,2400.0,2.2,1.61
1,Antalya,Antalya Open,2021-01-10,ATP250,Indoor,Hard,2nd Round,3.0,Bublik A.,Lamasine T.,49.0,271.0,1090.0,204.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.22,4.81,1.24,4.81,1.21,4.35,0,True,Lamasine T.,Bublik A.,271.0,49.0,204.0,1090.0,4.5,1.18
1,Antalya,Antalya Open,2021-01-10,ATP250,Indoor,Hard,2nd Round,3.0,Struff J.L.,Grenier H.,37.0,250.0,1450.0,220.0,,,,,,,,,,,,,Walkover,1.18,4.5,1.21,5.02,1.22,5.02,1.2,4.54,0,True,Grenier H.,Struff J.L.,250.0,37.0,220.0,1450.0,4.5,1.18
1,Antalya,Antalya Open,2021-01-10,ATP250,Indoor,Hard,2nd Round,3.0,Berrettini M.,Kuzmanov D.,10.0,298.0,3085.0,166.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.07,9.0,1.09,9.04,1.09,11.0,1.07,8.72,0,True,Kuzmanov D.,Berrettini M.,298.0,10.0,166.0,3085.0,9.0,1.07
1,Antalya,Antalya Open,2021-01-11,ATP250,Indoor,Hard,Quarterfinals,3.0,Goffin D.,Travaglia S.,16.0,75.0,2555.0,869.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.33,3.4,1.36,3.43,1.38,3.47,1.34,3.25,0,True,Travaglia S.,Goffin D.,75.0,16.0,869.0,2555.0,3.4,1.33
1,Antalya,Antalya Open,2021-01-11,ATP250,Indoor,Hard,Quarterfinals,3.0,Chardy J.,Struff J.L.,72.0,37.0,880.0,1450.0,4.0,6.0,6.0,2.0,7.0,6.0,,,,,2.0,1.0,Completed,2.62,1.5,2.86,1.48,2.86,1.53,2.65,1.48,1,False,Chardy J.,Struff J.L.,72.0,37.0,880.0,1450.0,2.62,1.5
1,Antalya,Antalya Open,2021-01-11,ATP250,Indoor,Hard,Quarterfinals,3.0,Bublik A.,Berrettini M.,49.0,10.0,1090.0,3085.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.0,1.25,4.05,1.29,4.05,1.37,3.49,1.3,0,True,Berrettini M.,Bublik A.,10.0,49.0,3085.0,1090.0,1.25,4.0
1,Antalya,Antalya Open,2021-01-11,ATP250,Indoor,Hard,Quarterfinals,3.0,De Minaur A.,Basilashvili N.,23.0,40.0,1860.0,1395.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.11,6.5,1.12,7.56,1.13,7.7,1.11,6.76,1,False,De Minaur A.,Basilashvili N.,23.0,40.0,1860.0,1395.0,1.11,6.5
1,Antalya,Antalya Open,2021-01-12,ATP250,Indoor,Hard,Semifinals,3.0,De Minaur A.,Goffin D.,23.0,16.0,1860.0,2555.0,6.0,4.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.53,2.5,1.6,2.51,1.62,2.55,1.57,2.41,1,False,De Minaur A.,Goffin D.,23.0,16.0,1860.0,2555.0,1.53,2.5
1,Antalya,Antalya Open,2021-01-12,ATP250,Indoor,Hard,Semifinals,3.0,Bublik A.,Chardy J.,49.0,72.0,1090.0,880.0,6.0,4.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,1.4,3.0,1.5,2.8,1.54,3.0,1.44,2.8,1,False,Bublik A.,Chardy J.,49.0,72.0,1090.0,880.0,1.4,3.0
1,Antalya,Antalya Open,2021-01-13,ATP250,Indoor,Hard,The Final,3.0,De Minaur A.,Bublik A.,23.0,49.0,1860.0,1090.0,,2.0,,,,,,,,,0.0,,Retired,1.2,4.5,1.22,4.87,1.23,5.3,1.21,4.43,1,False,De Minaur A.,Bublik A.,23.0,49.0,1860.0,1090.0,1.2,4.5
2,Delray Beach,Delray Beach Open,2021-01-07,ATP250,Outdoor,Hard,1st Round,3.0,Monteiro T.,Bellucci T.,84.0,281.0,820.0,185.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.36,3.42,1.44,3.5,1.36,3.1,1,False,Monteiro T.,Bellucci T.,84.0,281.0,820.0,185.0,1.36,3.0
2,Delray Beach,Delray Beach Open,2021-01-07,ATP250,Outdoor,Hard,1st Round,3.0,Paul T.,Nam J.S.,52.0,268.0,1080.0,205.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.12,6.0,1.13,6.81,1.24,6.81,1.13,6.0,1,False,Paul T.,Nam J.S.,52.0,268.0,1080.0,205.0,1.12,6.0
2,Delray Beach,Delray Beach Open,2021-01-07,ATP250,Outdoor,Hard,1st Round,3.0,Mager G.,Harrison R.,101.0,481.0,733.0,73.0,3.0,6.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.72,2.3,1.68,2.45,1.81,2.18,1.68,0,True,Harrison R.,Mager G.,481.0,101.0,73.0,733.0,1.72,2.0
2,Delray Beach,Delray Beach Open,2021-01-07,ATP250,Outdoor,Hard,1st Round,3.0,Korda S.,Kwon S.W.,119.0,95.0,566.0,768.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.74,2.21,1.8,2.31,1.74,2.09,1,False,Korda S.,Kwon S.W.,119.0,95.0,566.0,768.0,1.72,2.0
2,Delray Beach,Delray Beach Open,2021-01-08,ATP250,Outdoor,Hard,1st Round,3.0,Querrey S.,Mcdonald M.,56.0,194.0,1065.0,335.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.94,1.94,1.95,2.15,1.87,1.92,1,False,Querrey S.,Mcdonald M.,56.0,194.0,1065.0,335.0,1.8,1.9
2,Delray Beach,Delray Beach Open,2021-01-08,ATP250,Outdoor,Hard,1st Round,3.0,Harrison C.,Etcheverry T.,280.0,256.0,225.0,216.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.36,3.42,1.55,3.42,1.39,3.01,1,False,Harrison C.,Etcheverry T.,280.0,256.0,225.0,216.0,1.33,3.25
2,Delray Beach,Delray Beach Open,2021-01-08,ATP250,Outdoor,Hard,1st Round,3.0,Galan D.E.,Martin A.,115.0,100.0,606.0,734.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.47,2.87,1.54,2.88,1.46,2.7,0,True,Martin A.,Galan D.E.,100.0,115.0,734.0,606.0,2.75,1.4
2,Delray Beach,Delray Beach Open,2021-01-08,ATP250,Outdoor,Hard,1st Round,3.0,Quiroz R.,Rubin N.,293.0,251.0,171.0,219.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2.12,1.79,2.2,1.88,2.07,1.76,1,False,Quiroz R.,Rubin N.,293.0,251.0,171.0,219.0,2.0,1.72
2,Delray Beach,Delray Beach Open,2021-01-08,ATP250,Outdoor,Hard,1st Round,3.0,Fratangelo B.,King K.,274.0,304.0,195.0,154.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.52,2.68,1.61,2.8,1.5,2.57,1,False,Fratangelo B.,King K.,274.0,304.0,195.0,154.0,1.5,2.5
2,Delray Beach,Delray Beach Open,2021-01-08,ATP250,Outdoor,Hard,1st Round,3.0,Norrie C.,Aragone J.C.,74.0,299.0,877.0,165.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.2,5.13,1.23,6.0,1.18,4.85,0,True,Aragone J.C.,Norrie C.,299.0,74.0,165.0,877.0,4.33,1.2
2,Delray Beach,Delray Beach Open,2021-01-08,ATP250,Outdoor,Hard,1st Round,3.0,Karlovic I.,Andujar P.,148.0,59.0,444.0,1044.0,6.0,3.0,5.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,2.62,1.44,2.86,1.47,3.0,1.61,2.72,1.46,0,True,Andujar P.,Karlovic I.,59.0,148.0,1044.0,444.0,1.44,2.62
2,Delray Beach,Delray Beach Open,2021-01-09,ATP250,Outdoor,Hard,1st Round,3.0,Tiafoe F.,Young D.,62.0,327.0,1005.0,135.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.19,5.38,1.27,5.75,1.19,4.69,1,False,Tiafoe F.,Young D.,62.0,327.0,1005.0,135.0,1.22,4.0
2,Delray Beach,Delray Beach Open,2021-01-09,ATP250,Outdoor,Hard,2nd Round,3.0,Mager G.,Querrey S.,101.0,56.0,733.0,1065.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,4.0,1.22,3.97,1.29,4.2,1.3,3.84,1.25,1,False,Mager G.,Querrey S.,101.0,56.0,733.0,1065.0,4.0,1.22
2,Delray Beach,Delray Beach Open,2021-01-09,ATP250,Outdoor,Hard,2nd Round,3.0,Harrison C.,Garin C.,280.0,22.0,225.0,2180.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.51,1.6,3.02,1.63,2.55,1.51,1,False,Harrison C.,Garin C.,280.0,22.0,225.0,2180.0,2.62,1.44
2,Delray Beach,Delray Beach Open,2021-01-09,ATP250,Outdoor,Hard,2nd Round,3.0,Korda S.,Paul T.,119.0,52.0,566.0,1080.0,4.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,2.37,1.53,2.69,1.53,2.69,1.62,2.45,1.54,1,False,Korda S.,Paul T.,119.0,52.0,566.0,1080.0,2.37,1.53
2,Delray Beach,Delray Beach Open,2021-01-10,ATP250,Outdoor,Hard,2nd Round,3.0,Isner J.,Monteiro T.,25.0,84.0,1850.0,820.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.48,2.86,1.54,3.03,1.47,2.67,0,True,Monteiro T.,Isner J.,84.0,25.0,820.0,1850.0,2.5,1.5
2,Delray Beach,Delray Beach Open,2021-01-10,ATP250,Outdoor,Hard,2nd Round,3.0,Hurkacz H.,Galan D.E.,35.0,115.0,1518.0,606.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.41,3.19,1.41,3.52,1.36,3.12,1,False,Hurkacz H.,Galan D.E.,35.0,115.0,1518.0,606.0,1.36,3.0
2,Delray Beach,Delray Beach Open,2021-01-10,ATP250,Outdoor,Hard,2nd Round,3.0,Tiafoe F.,Fratangelo B.,62.0,274.0,1005.0,195.0,6.0,4.0,3.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.3,3.4,1.29,4.0,1.34,4.0,1.29,3.53,1,False,Tiafoe F.,Fratangelo B.,62.0,274.0,1005.0,195.0,1.3,3.4
2,Delray Beach,Delray Beach Open,2021-01-10,ATP250,Outdoor,Hard,2nd Round,3.0,Quiroz R.,Karlovic I.,293.0,148.0,171.0,444.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.66,2.36,1.67,2.4,1.75,2.22,1.66,0,True,Karlovic I.,Quiroz R.,148.0,293.0,444.0,171.0,1.66,2.1
2,Delray Beach,Delray Beach Open,2021-01-11,ATP250,Outdoor,Hard,2nd Round,3.0,Norrie C.,Mannarino A.,74.0,34.0,877.0,1561.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.92,1.99,2.0,2.25,1.84,1.95,1,False,Norrie C.,Mannarino A.,74.0,34.0,877.0,1561.0,1.8,1.9
2,Delray Beach,Delray Beach Open,2021-01-11,ATP250,Outdoor,Hard,Quarterfinals,3.0,Harrison C.,Mager G.,280.0,101.0,225.0,733.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.72,2.1,1.68,2.34,1.79,2.34,1.69,2.18,1,False,Harrison C.,Mager G.,280.0,101.0,225.0,733.0,1.72,2.1
2,Delray Beach,Delray Beach Open,2021-01-11,ATP250,Outdoor,Hard,Quarterfinals,3.0,Hurkacz H.,Quiroz R.,35.0,293.0,1518.0,171.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.19,5.37,1.22,6.5,1.15,5.4,1,False,Hurkacz H.,Quiroz R.,35.0,293.0,1518.0,171.0,1.16,5.0
2,Delray Beach,Delray Beach Open,2021-01-11,ATP250,Outdoor,Hard,Quarterfinals,3.0,Korda S.,Isner J.,119.0,25.0,566.0,1850.0,6.0,3.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.1,1.72,2.13,1.8,2.2,1.92,2.1,1.74,0,True,Isner J.,Korda S.,25.0,119.0,1850.0,566.0,1.72,2.1
2,Delray Beach,Delray Beach Open,2021-01-12,ATP250,Outdoor,Hard,Quarterfinals,3.0,Norrie C.,Tiafoe F.,74.0,62.0,877.0,1005.0,6.0,0.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.1,1.72,2.03,1.88,2.2,1.91,2.04,1.78,1,False,Norrie C.,Tiafoe F.,74.0,62.0,877.0,1005.0,2.1,1.72
2,Delray Beach,Delray Beach Open,2021-01-12,ATP250,Outdoor,Hard,Semifinals,3.0,Hurkacz H.,Harrison C.,35.0,280.0,1518.0,225.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.41,3.18,1.44,3.6,1.37,3.13,1,False,Hurkacz H.,Harrison C.,35.0,280.0,1518.0,225.0,1.36,3.2
2,Delray Beach,Delray Beach Open,2021-01-13,ATP250,Outdoor,Hard,Semifinals,3.0,Korda S.,Norrie C.,119.0,74.0,566.0,877.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.66,2.2,1.76,2.19,1.78,2.33,1.69,2.17,1,False,Korda S.,Norrie C.,119.0,74.0,566.0,877.0,1.66,2.2
2,Delray Beach,Delray Beach Open,2021-01-13,ATP250,Outdoor,Hard,The Final,3.0,Hurkacz H.,Korda S.,35.0,119.0,1518.0,566.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.83,2.09,1.92,2.14,1.81,2.0,0,True,Korda S.,Hurkacz H.,119.0,35.0,566.0,1518.0,2.0,1.8
3,Melbourne,Great Ocean Road Open,2021-01-31,ATP250,Outdoor,Hard,1st Round,3.0,Vukic A.,Lu Y.,195.0,1008.0,334.0,10.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.22,4.85,1.22,5.5,1.17,4.95,1,False,Vukic A.,Lu Y.,195.0,1008.0,334.0,10.0,1.16,5.0
3,Melbourne,Great Ocean Road Open,2021-01-31,ATP250,Outdoor,Hard,1st Round,3.0,Majchrzak K.,Djere L.,109.0,56.0,690.0,1068.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.56,2.59,1.56,3.0,1.44,2.76,1,False,Majchrzak K.,Djere L.,109.0,56.0,690.0,1068.0,1.4,2.75
3,Melbourne,Great Ocean Road Open,2021-01-31,ATP250,Outdoor,Hard,1st Round,3.0,Bedene A.,Uchiyama Y.,58.0,106.0,1055.0,701.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.33,3.62,1.45,4.2,1.33,3.29,1,False,Bedene A.,Uchiyama Y.,58.0,106.0,1055.0,701.0,1.4,2.75
3,Melbourne,Great Ocean Road Open,2021-02-01,ATP250,Outdoor,Hard,1st Round,3.0,O Connell C.,Koepfer D.,121.0,68.0,565.0,931.0,5.0,7.0,6.0,4.0,6.0,1.0,,,,,2.0,1.0,Completed,2.25,1.57,2.23,1.72,2.5,1.74,2.27,1.62,1,False,O Connell C.,Koepfer D.,121.0,68.0,565.0,931.0,2.25,1.57
3,Melbourne,Great Ocean Road Open,2021-02-01,ATP250,Outdoor,Hard,1st Round,3.0,Purcell M.,Gombos N.,238.0,89.0,241.0,797.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.95,1.45,2.95,1.53,2.76,1.44,1,False,Purcell M.,Gombos N.,238.0,89.0,241.0,797.0,2.62,1.44
3,Melbourne,Great Ocean Road Open,2021-02-01,ATP250,Outdoor,Hard,1st Round,3.0,Kwon S.W.,Martin A.,97.0,102.0,768.0,734.0,6.0,3.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.25,3.75,1.28,4.01,1.29,4.1,1.26,3.81,1,False,Kwon S.W.,Martin A.,97.0,102.0,768.0,734.0,1.25,3.75
3,Melbourne,Great Ocean Road Open,2021-02-01,ATP250,Outdoor,Hard,1st Round,3.0,Travaglia S.,Carballes Baena R.,71.0,98.0,894.0,751.0,2.0,6.0,7.0,5.0,7.0,6.0,,,,,2.0,1.0,Completed,1.36,3.0,1.45,2.94,1.47,3.0,1.41,2.86,1,False,Travaglia S.,Carballes Baena R.,71.0,98.0,894.0,751.0,1.36,3.0
3,Melbourne,Great Ocean Road Open,2021-02-01,ATP250,Outdoor,Hard,1st Round,3.0,Anderson K.,Lopez F.,82.0,63.0,825.0,998.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.41,3.14,1.49,3.2,1.4,2.9,0,True,Lopez F.,Anderson K.,63.0,82.0,998.0,825.0,2.62,1.44
3,Melbourne,Great Ocean Road Open,2021-02-01,ATP250,Outdoor,Hard,1st Round,3.0,Caruso S.,Seppi A.,76.0,107.0,858.0,699.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.76,2.16,1.8,2.34,1.72,2.11,1,False,Caruso S.,Seppi A.,76.0,107.0,858.0,699.0,1.72,2.0
3,Melbourne,Great Ocean Road Open,2021-02-02,ATP250,Outdoor,Hard,1st Round,3.0,Sandgren T.,Smith J.P.,50.0,318.0,1088.0,143.0,6.0,3.0,5.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,1.53,2.37,1.7,2.27,1.8,2.45,1.66,2.21,1,False,Sandgren T.,Smith J.P.,50.0,318.0,1088.0,143.0,1.53,2.37
3,Melbourne,Great Ocean Road Open,2021-02-02,ATP250,Outdoor,Hard,1st Round,3.0,Herbert P.H.,Cressy M.,84.0,171.0,822.0,389.0,6.0,7.0,7.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.44,2.62,1.45,2.93,1.53,2.93,1.46,2.71,0,True,Cressy M.,Herbert P.H.,171.0,84.0,389.0,822.0,2.62,1.44
3,Melbourne,Great Ocean Road Open,2021-02-02,ATP250,Outdoor,Hard,1st Round,3.0,Cuevas P.,Andujar P.,70.0,59.0,927.0,1044.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.1,1.66,2.25,1.71,2.25,1.8,2.14,1.7,0,True,Andujar P.,Cuevas P.,59.0,70.0,1044.0,927.0,1.66,2.1
3,Melbourne,Great Ocean Road Open,2021-02-02,ATP250,Outdoor,Hard,1st Round,3.0,Sweeny D.,Nam J.S.,797.0,273.0,22.0,205.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.25,1.57,2.07,1.83,2.33,1.83,2.1,1.72,1,False,Sweeny D.,Nam J.S.,797.0,273.0,22.0,205.0,2.25,1.57
3,Melbourne,Great Ocean Road Open,2021-02-02,ATP250,Outdoor,Hard,1st Round,3.0,Alcaraz C.,Balazs A.,146.0,94.0,464.0,779.0,2.0,2.0,,,,,,,,,0.0,0.0,Retired,1.22,4.0,1.3,3.81,1.31,4.2,1.26,3.75,0,True,Balazs A.,Alcaraz C.,94.0,146.0,779.0,464.0,4.0,1.22
